z,r_0.1,r_0.2,r_0.3,r_0.4,r_0.5,r_0.6,r_0.7,r_0.8,r_0.9
0,0.53,0.56,0.6,0.63,0.67,0.7,0.75,0.8,0.86
0.1,0.53,0.57,0.6,0.63,0.67,0.71,0.75,0.8,0.86
0.2,0.54,0.57,0.61,0.64,0.67,0.71,0.75,0.8,0.86
0.3,0.56,0.59,0.62,0.65,0.68,0.72,0.76,0.8,0.86
0.4,0.58,0.6,0.63,0.66,0.69,0.73,0.77,0.81,0.87
0.5,0.6,0.62,0.65,0.68,0.71,0.74,0.78,0.82,0.87
0.6,0.62,0.65,0.67,0.7,0.73,0.76,0.79,0.83,0.88
0.7,0.65,0.67,0.7,0.72,0.75,0.77,0.8,0.84,0.89
0.8,0.68,0.7,0.72,0.74,0.77,0.79,0.82,0.85,0.9
0.9,0.71,0.73,0.75,0.77,0.79,0.81,0.84,0.87,0.9
1,0.75,0.76,0.77,0.77,0.81,0.83,0.85,0.88,0.91
1.1,0.78,0.79,0.8,0.81,0.83,0.85,0.87,0.89,0.92
1.2,0.8,0.81,0.82,0.84,0.85,0.86,0.88,0.9,0.93
1.3,0.83,0.84,0.85,0.86,0.87,0.88,0.9,0.91,0.94
1.4,0.86,0.86,0.87,0.88,0.89,0.9,0.91,0.93,0.95
1.5,0.88,0.88,0.89,0.9,0.9,0.91,0.92,0.94,0.95
1.6,0.9,0.9,0.91,0.91,0.92,0.93,0.93,0.95,0.96
1.7,0.92,0.92,0.92,0.93,0.93,0.94,0.95,0.95,0.97
1.8,0.93,0.93,0.94,0.94,0.94,0.95,0.95,0.96,0.97
1.9,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.97,0.98
2,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.98
